Kods,Nosaukums,Vecāka kods,Spēkā no,Spēkā līdz,Līmenis,Saistītās klasif.
A,"LAUKSAIMNIECĪBA, MEŽSAIMNIECĪBA UN ZIVSAIMNIECĪBA",,01.01.2025,,1,NACE2 Vecā versija <-> Jaunā versija
1,"Augkopība un lopkopība, medniecība un saistītas atbalsta darbības",A,01.01.2025,,2,NACE2 Vecā versija <-> Jaunā versija
1.1,Viengadīgo kultūru audzēšana,1,01.01.2025,,3,NACE2 Vecā versija <-> Jaunā versija
1.11,"Graudaugu (izņemot rīsu), pākšaugu un eļļas augu sēklu audzēšana",1.1,01.01.2025,,4,NACE2 Vecā versija <-> Jaunā versija
1.12,Rīsu audzēšana,1.1,01.01.2025,,4,NACE2 Vecā versija <-> Jaunā versija
1.13,"Dārzeņu un meloņu, sakņu un bumbuļaugu audzēšana",1.1,01.01.2025,,4,NACE2 Vecā versija <-> Jaunā versija
1.14,Cukurniedru audzēšana,1.1,01.01.2025,,4,NACE2 Vecā versija <-> Jaunā versija
1.15,Tabakas audzēšana,1.1,01.01.2025,,4,NACE2 Vecā versija <-> Jaunā versija
1.16,Šķiedraugu audzēšana,1.1,01.01.2025,,4,NACE2 Vecā versija <-> Jaunā versija
1.19,Citu viengadīgo kultūru audzēšana,1.1,01.01.2025,,4,NACE2 Vecā versija <-> Jaunā versija
1.2,Daudzgadīgo kultūru audzēšana,1,01.01.2025,,3,NACE2 Vecā versija <-> Jaunā versija
1.21,Vīnogu audzēšana,1.2,01.01.2025,,4,NACE2 Vecā versija <-> Jaunā versija
1.22,Tropu un subtropu augļu audzēšana,1.2,01.01.2025,,4,NACE2 Vecā versija <-> Jaunā versija
1.23,Citrusaugļu audzēšana,1.2,01.01.2025,,4,NACE2 Vecā versija <-> Jaunā versija
1.24,Sēkleņu un kauleņu audzēšana,1.2,01.01.2025,,4,NACE2 Vecā versija <-> Jaunā versija
1.25,Citu koku un krūmu augļu un riekstu audzēšana,1.2,01.01.2025,,4,NACE2 Vecā versija <-> Jaunā versija
1.26,Eļļas augu audzēšana,1.2,01.01.2025,,4,NACE2 Vecā versija <-> Jaunā versija
1.27,Dzērienu ražošanā izmantojamo kultūru audzēšana,1.2,01.01.2025,,4,NACE2 Vecā versija <-> Jaunā versija
1.28,"Garšaugu, aromātisko un ārstniecisko augu audzēšana",1.2,01.01.2025,,4,NACE2 Vecā versija <-> Jaunā versija
1.29,Citu daudzgadīgo kultūru audzēšana,1.2,01.01.2025,,4,NACE2 Vecā versija <-> Jaunā versija
1.3,Augu pavairošana,1,01.01.2025,,3,NACE2 Vecā versija <-> Jaunā versija
1.3,Augu pavairošana,1.3,01.01.2025,,4,NACE2 Vecā versija <-> Jaunā versija
1.4,Lopkopība,1,01.01.2025,,3,NACE2 Vecā versija <-> Jaunā versija
1.41,Piena lopkopība,1.4,01.01.2025,,4,NACE2 Vecā versija <-> Jaunā versija
1.42,Citu liellopu audzēšana,1.4,01.01.2025,,4,NACE2 Vecā versija <-> Jaunā versija
1.43,Zirgu un zirgu dzimtas dzīvnieku audzēšana,1.4,01.01.2025,,4,NACE2 Vecā versija <-> Jaunā versija
1.44,Kamieļu un kamieļu dzimtas dzīvnieku audzēšana,1.4,01.01.2025,,4,NACE2 Vecā versija <-> Jaunā versija
1.45,Aitu un kazu audzēšana,1.4,01.01.2025,,4,NACE2 Vecā versija <-> Jaunā versija
1.46,Cūkkopība,1.4,01.01.2025,,4,NACE2 Vecā versija <-> Jaunā versija
1.47,Putnkopība,1.4,01.01.2025,,4,NACE2 Vecā versija <-> Jaunā versija
1.48,Citu dzīvnieku audzēšana,1.4,01.01.2025,,4,NACE2 Vecā versija <-> Jaunā versija
1.5,Jauktā lauksaimniecība (augkopība un lopkopība),1,01.01.2025,,3,NACE2 Vecā versija <-> Jaunā versija
1.5,Jauktā lauksaimniecība (augkopība un lopkopība),1.5,01.01.2025,,4,NACE2 Vecā versija <-> Jaunā versija
1.6,Lauksaimniecības atbalsta darbības un atbalsta darbības pēc ražas novākšanas,1,01.01.2025,,3,NACE2 Vecā versija <-> Jaunā versija
1.61,Augkopības atbalsta darbības,1.6,01.01.2025,,4,NACE2 Vecā versija <-> Jaunā versija
1.62,Lopkopības atbalsta darbības,1.6,01.01.2025,,4,NACE2 Vecā versija <-> Jaunā versija
1.63,Darbības pēc ražas novākšanas un sēklu apstrāde sējai,1.6,01.01.2025,,4,NACE2 Vecā versija <-> Jaunā versija
1.7,"Medniecība, slazdošana un ar to saistīti pakalpojumi",1,01.01.2025,,3,NACE2 Vecā versija <-> Jaunā versija
1.7,"Medniecība, slazdošana un ar to saistīti pakalpojumi",1.7,01.01.2025,,4,NACE2 Vecā versija <-> Jaunā versija
2,Mežsaimniecība un mežizstrāde,A,01.01.2025,,2,NACE2 Vecā versija <-> Jaunā versija
2.1,Mežkopība un citas mežsaimniecības darbības,2,01.01.2025,,3,NACE2 Vecā versija <-> Jaunā versija
2.1,Mežkopība un citas mežsaimniecības darbības,2.1,01.01.2025,,4,NACE2 Vecā versija <-> Jaunā versija
2.2,Mežizstrāde,2,01.01.2025,,3,NACE2 Vecā versija <-> Jaunā versija
2.2,Mežizstrāde,2.2,01.01.2025,,4,NACE2 Vecā versija <-> Jaunā versija
2.3,Meža nekoksnes produktu vākšana,2,01.01.2025,,3,NACE2 Vecā versija <-> Jaunā versija
2.3,Meža nekoksnes produktu vākšana,2.3,01.01.2025,,4,NACE2 Vecā versija <-> Jaunā versija
2.4,Mežsaimniecības palīgdarbības,2,01.01.2025,,3,NACE2 Vecā versija <-> Jaunā versija
2.4,Mežsaimniecības palīgdarbības,2.4,01.01.2025,,4,NACE2 Vecā versija <-> Jaunā versija
3,Zvejniecība un akvakultūra,A,01.01.2025,,2,NACE2 Vecā versija <-> Jaunā versija
3.1,Zvejniecība,3,01.01.2025,,3,NACE2 Vecā versija <-> Jaunā versija
3.11,Jūras zvejniecība,3.1,01.01.2025,,4,NACE2 Vecā versija <-> Jaunā versija
3.12,Saldūdens zvejniecība,3.1,01.01.2025,,4,NACE2 Vecā versija <-> Jaunā versija
3.2,Akvakultūra,3,01.01.2025,,3,NACE2 Vecā versija <-> Jaunā versija
3.21,Jūras akvakultūra,3.2,01.01.2025,,4,NACE2 Vecā versija <-> Jaunā versija
3.22,Saldūdens akvakultūra,3.2,01.01.2025,,4,NACE2 Vecā versija <-> Jaunā versija
3.3,Zvejniecības un akvakultūras atbalsta darbības,3,01.01.2025,,3,NACE2 Vecā versija <-> Jaunā versija
3.3,Zvejniecības un akvakultūras atbalsta darbības,3.3,01.01.2025,,4,NACE2 Vecā versija <-> Jaunā versija
B,IEGUVES RŪPNIECĪBA UN KARJERU IZSTRĀDE,,01.01.2025,,1,NACE2 Vecā versija <-> Jaunā versija
5,Ogļu un lignīta ieguve,B,01.01.2025,,2,NACE2 Vecā versija <-> Jaunā versija
5.1,Akmeņogļu ieguve,5,01.01.2025,,3,NACE2 Vecā versija <-> Jaunā versija
5.1,Akmeņogļu ieguve,5.1,01.01.2025,,4,NACE2 Vecā versija <-> Jaunā versija
5.2,Lignīta ieguve,5,01.01.2025,,3,NACE2 Vecā versija <-> Jaunā versija
5.2,Lignīta ieguve,5.2,01.01.2025,,4,NACE2 Vecā versija <-> Jaunā versija
6,Jēlnaftas un dabasgāzes ieguve,B,01.01.2025,,2,NACE2 Vecā versija <-> Jaunā versija
6.1,Jēlnaftas ieguve,6,01.01.2025,,3,NACE2 Vecā versija <-> Jaunā versija
6.1,Jēlnaftas ieguve,6.1,01.01.2025,,4,NACE2 Vecā versija <-> Jaunā versija
6.2,Dabasgāzes ieguve,6,01.01.2025,,3,NACE2 Vecā versija <-> Jaunā versija
6.2,Dabasgāzes ieguve,6.2,01.01.2025,,4,NACE2 Vecā versija <-> Jaunā versija
7,Metāla rūdu ieguve,B,01.01.2025,,2,NACE2 Vecā versija <-> Jaunā versija
7.1,Dzelzsrūdu ieguve,7,01.01.2025,,3,NACE2 Vecā versija <-> Jaunā versija
7.1,Dzelzsrūdu ieguve,7.1,01.01.2025,,4,NACE2 Vecā versija <-> Jaunā versija
7.2,Krāsaino metālu rūdu ieguve,7,01.01.2025,,3,NACE2 Vecā versija <-> Jaunā versija
7.21,Urāna un torija rūdu ieguve,7.2,01.01.2025,,4,NACE2 Vecā versija <-> Jaunā versija
7.29,Citu krāsaino metālu rūdu ieguve,7.2,01.01.2025,,4,NACE2 Vecā versija <-> Jaunā versija
8,Cita ieguves rūpniecība un karjeru izstrāde,B,01.01.2025,,2,NACE2 Vecā versija <-> Jaunā versija
8.1,"Akmeņu, smilšu un māla ieguve",8,01.01.2025,,3,NACE2 Vecā versija <-> Jaunā versija
8.11,"Dekoratīvo akmeņu, kaļķakmens, ģipša, slānekļa un citu akmeņu ieguve",8.1,01.01.2025,,4,NACE2 Vecā versija <-> Jaunā versija
8.12,Grants un smilts karjeru izstrāde; māla un kaolīna ieguve,8.1,01.01.2025,,4,NACE2 Vecā versija <-> Jaunā versija
8.9,Citur neklasificēta ieguves rūpniecība un karjeru izstrāde,8,01.01.2025,,3,NACE2 Vecā versija <-> Jaunā versija
8.91,Ķimikāliju un minerālmēslu ražošanā izmantojamo minerālu ieguve,8.9,01.01.2025,,4,NACE2 Vecā versija <-> Jaunā versija
